coach_code,name,gender,function,country_code,disciplines,birth_date
1533246,PEDRERO Ofelia,F,Coach,MEX,Artistic Swimming,1988-03-28
1535775,RADHI SHENAISHIL,M,Head Coach,IRQ,Football,1965-07-01
1536055,AFLAKIKHAMSEH Majid,M,Coach,IRI,Taekwondo,1973-08-26
1536059,YOUSEFY Mehrdad,M,Coach,IRI,Taekwondo,1972-06-12
1536060,MADDAH Minoo,F,Coach,IRI,Taekwondo,1976-05-17
1536328,LOFTUS Adriana,F,Coach,MEX,Artistic Swimming,1958-06-28
1538313,FERRARA Fernando,M,Head Coach,ARG,Hockey,1968-07-24
1538315,GULLA Alejandra,F,Assistant Coach,ARG,Hockey,1977-07-04
1538317,CAPURRO Santiago,M,Assistant Coach,ARG,Hockey,1975-04-08
1538745,RONCONI Mariano,M,Head Coach,ARG,Hockey,
1538748,PAULON Ezequiel,M,Assistant Coach,ARG,Hockey,
1538751,VILA Matias,M,Assistant Coach,ARG,Hockey,
1539598,KHEIRKHAH HAJIRASOULIAN Mohammadre.,M,Coach,IRI,Artistic Gymnastics,1965-06-27
1540258,DAVIS DIAZ David,M,Coach,MEX,Taekwondo,1977-10-07
1540259,MENDOZA MORA Abel,M,Coach,MEX,Taekwondo,1988-02-26
1540260,VICTORIA ESPINOSA de los Alfonso,M,Coach,MEX,Taekwondo,1985-02-01
1540522,MILANO Guillermo,M,Head Coach,ARG,Handball,1973-02-08
1540638,GOMEZ CORA Santiago,M,Head Coach,ARG,Rugby Sevens,1978-07-25
1540639,GRAVANO Leonardo,M,Assistant Coach,ARG,Rugby Sevens,1973-08-30
1540840,FILIORIANU Ana Luiza,F,Coach,ROU,Rhythmic Gymnastics,1999-07-10
1542341,SMAILI Badr,M,Coach,MAR,Taekwondo,1993-05-07
1542904,OCEGUERA ORNELAS Pavel,M,Coach,MEX,Artistic Gymnastics,1971-09-10
1542908,VALENZUELA GOMEZ Maria,F,Coach,MEX,Artistic Gymnastics,1976-07-23
1542913,MEZA PADILLA Jose,M,Coach,MEX,Artistic Gymnastics,1977-01-25
1542973,AGUILAR ROJAS Blajaith,F,Coach,MEX,Rhythmic Gymnastics,1991-09-30
1542976,FURALEV Vladislav,M,Coach,MEX,Rhythmic Gymnastics,1970-01-04
1543567,UPTON Patrick Anthony Howard,M,Coach,IND,Hockey,1968-11-05
1543570,SCHOPMAN Johanna Dorothea Maria,F,Coach,IND,Hockey,1977-04-26
1543575,HALKETT Rhett Kennedy,M,Assistant Coach,IND,Hockey,1986-05-02
1543576,FULTON Craig Arthur,M,Head Coach,IND,Hockey,1974-11-06
1543577,FARRY Anthony James,M,Coach,IND,Hockey,1973-07-13
1544157,THORPE Karen,F,Coach,GBR,Artistic Swimming,1973-04-21
1544158,TOMOMATSU Yumiko,F,Coach,GBR,Artistic Swimming,1972-07-21
1544489,CURRAN Orlaith,F,Assistant Coach,IRL,Rugby Sevens,1990-08-08
1545106,NASKAR Arup,M,Coach,IND,Hockey,1983-05-05
1545139,CHINNASAMY Ashok Kumar,M,Coach,IND,Hockey,1991-04-24
1545947,BUSNARI Alberto,M,Coach,ITA,Artistic Gymnastics,1978-10-04
1545949,COCCIARO Giuseppe,M,Coach,ITA,Artistic Gymnastics,1959-08-05
1545950,FORTUNA Marco,M,Coach,ITA,Artistic Gymnastics,1961-06-06
1545955,BERGAMELLI Monica Roberta,F,Coach,ITA,Artistic Gymnastics,1984-05-24
1546310,CHIRILCENCO Marc Michel,M,Coach,ALG,Artistic Gymnastics,1968-04-24
1546312,HAMICI Saad Eddine,M,Coach,ALG,Artistic Gymnastics,1970-09-06
1546698,HERRANZ MARTIN Miguel Angel,M,Coach,ESP,Taekwondo,1964-04-02
1546699,RAMAL MUNOZ Jesus,M,Coach,ESP,Taekwondo,1968-09-01
1546700,SEIJO GIEBELS Christian Jaime,M,Coach,ESP,Taekwondo,1977-03-27
1546701,TOLEDO AROCA Antonio,M,Coach,ESP,Taekwondo,1977-06-08
1546702,YAGUE ENRIQUE Brigida,F,Coach,ESP,Taekwondo,1981-03-15
1548427,JONES Gilmar,M,Coach,SUR,Taekwondo,1986-01-26
1548848,DIMITROVA Vesela,F,Coach,BUL,Rhythmic Gymnastics,1975-10-28
1548875,STOYNEVA Yasena,F,Coach,BUL,Rhythmic Gymnastics,1988-11-10
1548895,MARKOVA Branimira,F,Coach,BUL,Rhythmic Gymnastics,1973-10-01
1548902,PAMUKOVA Mariyana,F,Coach,BUL,Rhythmic Gymnastics,1982-08-22
1548919,IVANOVA Valentina,F,Coach,BUL,Rhythmic Gymnastics,1977-05-29
1549452,LEE Eui Yong,M,Coach,GAM,Taekwondo,1971-02-09
1550038,ARILL Samuel,M,Assistant Coach,PUR,Basketball,1975-08-24
1550039,MORALES OTERO Carlos,M,Assistant Coach,PUR,Basketball,1958-08-30
1550047,BATISTA Gerardo,M,Coach,PUR,Basketball,1970-12-21
1550196,COTUTIU Florin,M,Coach,ROU,Artistic Gymnastics,1975-03-13
1550198,JONES Daymon,M,Coach,ROU,Artistic Gymnastics,1975-06-05
1550199,KIENS Patrick,M,Coach,ROU,Artistic Gymnastics,1971-05-05
1550201,MOROSAN Corina,F,Coach,ROU,Artistic Gymnastics,1967-09-14
1550203,VOINEA Camelia,F,Coach,ROU,Artistic Gymnastics,1970-03-02
1550267,BERBECAR Marius,M,Coach,ROU,Artistic Gymnastics,1985-05-15
1552001,LIU Tsung-Ta,M,Coach,TPE,Taekwondo,1974-10-10
